FID,FID_Alabam,MatchType,NumMatch,PrecinctNu,Precinct,Address,City,Zip,County,State,FLD_ZONE,ZONE_SUBTY,x,y
611,1087,ExactMatch,Exact,13,McIntosh Comm Center,1572 Patton Rd,McIntosh,36553,Washington,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-88.0004127111013,31.243267173861
612,1171,KnownAlternateName,Exact, ,Little River Volunteer Fire Department,71250 State Highway 59,Little River,36550,Baldwin,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.7064534703313,31.265304748754
613,936,ExactMatch,Approx, ,McGill Mineola Methodist Church,489 Mineola Church Rd,Mineola,36480,Monroe,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.642105003447,31.2879057858854
614,1200,ExactMatch,Exact, ,Orange Beach Community Center,27235 Canal Road,Orange Beach,36561,Baldwin,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.5585988758943,30.2944055700965
615,1206,ExactMatch,Exact, ,"Ono Island, The Harriett Cockrell Center",31692 Dolphin Drive,Orange Beach,36561,Baldwin,Alabama,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,-87.4858049156804,30.2957007027217
616,1190,ExactMatch,Exact, ,Perdido Beach Volunteer Fire Department,8450 Escambia Avenue,Elberta,36530,Baldwin,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.5066036336885,30.3475452035681
617,1189,ExactMatch,Exact, ,Lillian Community Club,34148 Widell Avenue,Lillian,36549,Baldwin,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.4444503590833,30.4107055995907
618,1192,ExactMatch,Approx, ,Elberta Civic Center,25070 Pine Street,Elberta,36530,Baldwin,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.6023049532592,30.4156055955675
619,1188,ExactMatch,Exact, ,Seminole Fire House,33723 Lost River Rd,Seminole,36574,Baldwin,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.4485842843005,30.5047849903112
620,711,ExactMatch,Approx,150,Flomaton City Hall,2125 Ringold St,Flomaton,36441,Escambia,Alabama,AE, ,-87.2587048832899,31.0017057362394
621,710,ExactMatch,Exact,140,Flomaton Community House,628 McCurdy St,Flomaton,36441,Escambia,Alabama,AE, ,-87.2600827237888,31.0042231967467
622,726,ExactMatch,Exact,330,Nokomis Vol Fire Dept,162 James Rd,Atmore,36502,Escambia,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.5970833878825,31.0047299555376
623,719,ExactMatch,Approx,260,Atmore Public Library,700 East Church St,Atmore,36502,Escambia,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.4870049480013,31.0227057331847
624,724,ExactMatch,Exact,310,Atmore City Hall,201 E Louisville Ave,Atmore,36502,Escambia,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.4926049496363,31.024305733347
625,720,KnownAlternateName,Exact,270,Canoe Civic Club,12248 Highway 31,Atmore,36502,Escambia,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.4070939858689,31.0264872467027
626,717,ExactMatch,Exact,230,Pollard Town Hall,1415 Canterbury St,Flomaton,36441,Escambia,Alabama,A, ,-87.1718238301355,31.0270418747218
627,718,ExactMatch,Exact,240,Atmore County Road Dep t,351 Jack Springs Road,Atmore,36502,Escambia,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.5009713724549,31.0349721554038
628,712,ExactMatch,Exact,160,Little Escambia Voting House,161 Mize Rd,Flomaton,36441,Escambia,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.2553392639086,31.0362057439355
629,703,KnownAlternateName,Exact,70,Riverview Town Hall,4190 Highway 41,Brewton,36426,Escambia,Alabama,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,-87.0575218093466,31.0537982044384
630,725,ExactMatch,Exact,320,New Order Baptist Church,1100 Woods Rd,Atmore,36502,Escambia,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.5055049551866,31.067205742315
631,707,ExactMatch,Approx,110,Dixie Volunteer Fire Dept,24654 Highway 29,Brewton,36426,Escambia,Alabama,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,-87.0311048232678,31.0830057617514
632,702,ExactMatch,Exact,50,East Brewton Sail Ctr,706 Williamson St,East Brewton,36426,Escambia,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.0653164829923,31.0861057612851
633,700,ExactMatch,Exact,100,Alco J D Museum,220 Alco Dr,Brewton,36426,Escambia,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.0849233891521,31.100838493866
634,705,ExactMatch,Exact,90,Bethel Roberts Volunteer Fire Dept,6615 Bradley Rd,ANDALUSIA,36420,Escambia,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.8495167231751,31.101248401855
635,722,ExactMatch,Approx,290,Poarch Sail Center,5811 Jack Springs Rd,Atmore,36502,Escambia,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.5555049707042,31.1016057481564
636,713,ExactMatch,Approx,170,Pineview Voting House,11145 Foshee Rd,Flomaton,36441,Escambia,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.1857048674902,31.1036057610831
637,704,ExactMatch,Approx,80,Rock Hill/Ridge Road Vol Fire Dept,Ridge Rd,Brewton,36426,Escambia,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.0391048265158,31.1052057663662
638,721,ExactMatch,Exact,280,Little Rock Store,8580 Robinsonville Rd,Atmore,36502,Escambia,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.3890089348469,31.1150137767262
639,706,ExactMatch,Approx,100,Bradley/Rock Creek Volunteer Fire Dept,1507 Bradley Rd,ANDALUSIA,36420,Escambia,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.8157047644928,31.1191057769223
640,709,ExactMatch,Approx,130,Kirkland/No Brewton,1010-B Douglas Ave,Brewton,36426,Escambia,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.0686048354613,31.120205768672
641,701,ExactMatch,Approx,40,Appleton Volunteer Fire Dept,1009 Appleton Rd,Brewton,36426,Escambia,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.0742048380129,31.14180577323
642,708,KnownAlternateName,Exact,120,Damascus/Bpykin School,13573 Highway 29,Brewton,36426,Escambia,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.8831343346867,31.1470919308221
643,715,KnownAlternateName,Exact,190,Huxford Masonic Lodge,626 Co Rd 30,Atmore,36502,Escambia,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.5408272595001,31.1646314424395
644,723,ExactMatch,Exact,300,McCullough Vol Fire Dept,1060 McCullough Rd,Atmore,36502,Escambia,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.5353253780605,31.16670576308
645,716,ExactMatch,Exact,210,Wallace Methodist Church,2470 Wallace Rd,Brewton,36426,Escambia,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.2222711125794,31.2099057831653
646,714,ExactMatch,Exact,180,Barnett's Crossroads Vol Fire Dept,700 Barnett Hwy,Brewton,36426,Escambia,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.3098049072642,31.2143057811573
647,596,ExactMatch,Exact,OLD CASTLEBERRY NUTRITION CENTER,OLD CASTLEBERRY NUTRITION CENTER,2326 CLEVELAND AVENUE,CASTLEBERRY,36432,Conecuh,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.0299260827498,31.297705808937
648,590,ExactMatch,Approx,CASTLEBERRY FIRE DEPARTMENT,CASTLEBERRY FIRE DEPARTMENT,85 STRAWBERRY STREET,CASTLEBERRY,36432,Conecuh,Alabama,A, ,-87.0212048304847,31.3016058100882
649,600,KnownAlternateName,Exact,SANDCUT FIRE DEPARTMENT,SANDCUTT FIRE DEPARTMENT,74 APPLETON ROAD,REPTON,36475,Conecuh,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.1218130494183,31.3176009001658
650,595,ExactMatch,Approx,NAZARENE BAPTIST CHURCH,NAZARENE BAPTIST CHURCH,2251 NYMPH ROAD,CASTLEBERRY,36432,Conecuh,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.9453048121449,31.3654058266514
651,508,ExactMatch,Exact,2,Choctaw Bluff Alma Fire Station,361 Choctaw Bluff Road,Jackson,36545,Clarke,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.7504723704463,31.4329295936869
652,507,ExactMatch,Approx,1,Gainestown - Good Hope AME Church,16092 Walker Springs Road,Gainestown,36540,Clarke,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.6927050253774,31.4548058204399
653,1089,ExactMatch,Approx,17,Chatom Courthouse,45 Court St,Chatom,36518,Washington,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-88.2561051826048,31.4663058032863
654,510,ExactMatch,Approx,5,Walker Springs Overstreet Grocery,6824 Walker Springs Rd,Gainestown,36540,Clarke,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.7494050427814,31.4886058258032
655,1080,KnownAlternateName,Exact,7,Laton Hill Fire House,55 Nathan Jordan Rd,Chatom,36518,Washington,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-88.3695019151564,31.4895881343285
656,1088,KnownAlternateName,Exact,15,Leroy Fire House,26315 Hwy 43,Leroy,36548,Washington,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.9714887751742,31.5004224606171
657,509,ExactMatch,Approx,4,Jackson City Hall,400 Commerce Street,Jackson,36545,Clarke,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.8956050844119,31.5078058248659
658,511,ExactMatch,Approx,6,Jackson Downtown Fire Station,101 East Church Street,Jackson,36545,Clarke,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.893105083835,31.5103058254943
659,1079,ExactMatch,Exact,6,Yarbo Fire House,6865 Beaver  Dam Rd,Millry,36558,Washington,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-88.2797192730454,31.547598779987
660,513,DirectionSuffixRemoved,Exact,9,Jackson Skipper Fire Station,3725 Highway 43 North,Jackson,36545,Clarke,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.878591951711,31.5505088647009
661,1078,ExactMatch,Exact,5,Copeland Fire House,137 Sol Dearmon Rd,Millry,36558,Washington,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-88.424205233871,31.5636612283471
662,512,ExactMatch,Approx,7,Morning Star Church #2,466 Morning Star Road,Whatley,36482,Clarke,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.670605027349,31.6259058583012
663,1077,KnownAlternateName,Exact,3,Millry Fire House,57 5th Avenue,Millry,36558,Washington,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-88.3151858170976,31.6350058375469
664,514,KnownAlternateName,Exact,10,Jackson National Guard Armory,2405 Coffeeville Rd,Jackson,36545,Clarke,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.933863911278,31.637729341606
665,520,ExactMatch,Approx,18,Whatley - Horeb Baptist Church,687 Main Street,Whatley,36482,Clarke,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.7147050408203,31.6503058620328
666,517,ExactMatch,Exact,15,Hellwestern Volunteer Fire Dept,755 Allen Rd,Grove Hill,36451,Clarke,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.7793713297489,31.6689821937954
667,515,ExactMatch,Approx,12,Winn-Zimco Fire Station,3011 Berry's Chapel Road,Jackson,36545,Clarke,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.9089050959043,31.6704058595374
668,516,ExactMatch,Exact,13,Grove Hill Old Engineers Building,146 Clark Street,Grove Hill,36451,Clarke,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.7756594005783,31.7076526122777
669,518,DirectionPrefixRemoved,Exact,16,Grove Hill Town Hall,111 South Church St,Grove Hill,36451,Clarke,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.7750967305838,31.7110142030234
670,521,KnownAlternateName,Exact,20,Coffeeville Town Hall,22974 Highway 69,Coffeeville,36524,Clarke,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-88.0894051504716,31.7600426024478
671,523,ExactMatch,Approx,22,Chilton - Hopewell Church,15620 Highway 154,Grove Hill,36451,Clarke,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.8485050843594,31.7794058851748
672,529,ExactMatch,Exact,29,Springfield Methodist Protestant Church,3087 Sandflat Road,Thomasville,36784,Clarke,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.7546571105707,31.8282142990226
673,524,ExactMatch,Approx,23,Opine - Tallahata Springs,12070 Tallahatta Springs Road,Thomasville,36784,Clarke,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.9249051116956,31.9031059090604
674,528,ExactMatch,Exact,28,Thomasville Civic Center,559 West Front Street,Thomasville,36784,Clarke,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.7349050594815,31.9185934391829
675,527,ExactMatch,Exact,27,Thomasville Bashi Road Fire Station,1501 Bashi Road,Thomasville,36784,Clarke,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.7404050616162,31.930805921613
676,526,ExactMatch,Exact,26,Bashi Methodist Church,8849 Bashi Road,Thomasville,36784,Clarke,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.85798994638,31.9707059259731
677,892,ExactMatch,Approx,505,Nicholsville Baptist Church,6437 Nicholsville Rd,Sweetwater,36782,Marengo,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.8794051047417,32.019005935564
678,893,ExactMatch,Exact,507,Putnam,3550 AL Hwy 69,Putnam,36784,Marengo,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-88.0315051471962,32.0206459304299
679,525,ExactMatch,Approx,25,Walnut Grove Missionary Church,43369 Highway 69,Thomasville,36784,Clarke,Alabama,A, ,-88.0315051483096,32.0430059352152
680,888,KnownAlternateName,Exact,408,Dixons Mills Volunteer Fire Dept.,3846 Co Rd 6,Dixons Mills,36736,Marengo,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.7910583820579,32.058405947195
681,887,KnownAlternateName,Exact,407,Surginer Volunteer Fire Dept,6279 Co Rd 55,Magnolia,36754,Marengo,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.7233021937185,32.0699354621097
682,891,ExactMatch,Approx,504,Sweetwater Town Hall,31380 AL Hwy 10,Sweetwater,36782,Marengo,Alabama,A, ,-87.8756051074349,32.0944059518548
683,894,ExactMatch,Approx,508,Nanafalia Mini Mall,198 Old Hwy 10,Nanafia,36734,Marengo,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-88.0250051506453,32.1259059531749
684,886,KnownAlternateName,Exact,405,Magnolia Community Center,5320 Co Rd 30,Magnolia,36754,Marengo,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.661755909828,32.136205968542
685,895,ExactMatch,Approx,511,Myrtlewood Community Center,208 N Magnolia St,Myrtlewood,36763,Marengo,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.9500051361178,32.2523059828895
686,884,ExactMatch,Exact,401,Thomaston Town Hall,154 Main St,Thomaston,36783,Marengo,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.6242050459054,32.2672570179675
687,883,ExactMatch,Approx,305,Linden Armory,2400 Coats Ave,Linden,36748,Marengo,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.7980050964448,32.3063059999684
688,890,ExactMatch,Approx,502,Linden Hwy 43 Voting Booth,108 N Main St,Linden,36748,Marengo,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.7980050966376,32.3101060007792
689,1014,ExactMatch,Exact,6,Whitfield Community Center,5947 Sumter 42,Whitfield,36925,Sumter,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-88.0915724913204,32.3652859017429
690,889,ExactMatch,Approx,501,Jefferson Community Center,26064 AL Hwy 28,Jefferson,36745,Marengo,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.8744051208351,32.3665060099999
691,522,KnownAlternateName,Exact,21,"Thomasville Adult Education Building, Coastal Alabama Community College",30755 Highway 43,Thomasville,36784,Clarke,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.7797050969933,32.4174060243233
692,1015,ExactMatch,Exact,8,Cuba City Hall,409 4th St,Cuba,36907,Sumter,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-88.3788375044827,32.4284093044862
693,1013,KnownAlternateName,Exact,5,Bellamy Fire Dpet,527 Pine St,Bellamy,36901,Sumter,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-88.135026587742,32.4493043879712
694,1017,ExactMatch,Exact,10,Coatopa Fire Dept,111 Mundy Rd,Coatopa,35470,Sumter,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-88.0682629610991,32.4871904684836
695,880,ExactMatch,Approx,102,Demopolis National Guard,1701 Hwy 43 S,Demopolis,36732,Marengo,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.8161051114084,32.5001060405742
696,1016,DirectionPrefixRemoved,Exact,9,York Fire & Rescue Squad,1509 E 4th Ave,York,36925,Sumter,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-88.2809781610194,32.5005951834051
697,881,DirectionSuffixRemoved,Exact,201,Church Aflame,431 Hwy 80 N,Demopolis,36732,Marengo,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.8420956887252,32.5012154698478
698,929,DirectionPrefixRemoved,Exact, ,Wildfork - Coleman Assembly of God Church,4124 N Butler St,Frisco City,36445,Monroe,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.3823049353607,31.3832058155809
699,593,ExactMatch,Approx,LITTLE ZION CHURCH,LITTLE ZION CHURCH,3592 BROOKLYN ROAD,EVERGREEN,36401,Conecuh,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.8741047934617,31.3935058352356
700,598,ExactMatch,Exact,REPTON TOWN HALL,REPTON TOWN HALL A,1524 CONALY ST,REPTON,36475,Conecuh,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.2465589186362,31.4098576160599
701,589,ExactMatch,Exact,CARVER RECREATION CENTER,CARVER RECREATION CENTER,535 KNOXVILLE ROAD,EVERGREEN,36401,Conecuh,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.9518990862886,31.4148230272458
702,597,KnownAlternateName,Exact,OLD FIELD CHURCH,OLD FIELD CHURCH,16795 HIGHWAY 84,EVERGREEN,36401,Conecuh,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.0002849800019,31.4177938362401
703,934,ExactMatch,Approx, ,Goodway Fire Station,5 Main St,Frisco City,36445,Monroe,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.3505049281441,31.4190058244801
704,930,DirectionSuffixRemoved,Exact, ,Excel Assembly of God,1014 Hwy 136 W,Monroeville,36460,Monroe,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.3253281515337,31.4282058273525
705,591,ExactMatch,Exact,DAVID BURT BUILDING,DAVID BURT BUILDING,102 LIBERTY STREET,EVERGREEN,36401,Conecuh,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.9545962980313,31.4360001617868
706,945,ExactMatch,Exact, ,Oak Grove Baptist Church,113 Oak Grove Church Rd,Frisco City,36445,Monroe,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.3935314912143,31.4411999478328
707,592,ExactMatch,Exact,HEALTH DEPARTMENT,HEALTH DEPARTMENT,102 WILD AVENUE,EVERGREEN,36401,Conecuh,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.9626755307983,31.4467250338557
708,950,ExactMatch,Approx, ,Shiloh Miss. Baptist Church,7620 Co Rd 1,Frisco City,36445,Monroe,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.5408049826773,31.4480058242255
709,601,KnownAlternateName,Exact,SKINNERTON FIRE DEPARTMENT,SKINNERTON FIRE DEPARTMENT,2333 HIGHWAY 83,EVERGREEN,36401,Conecuh,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.0011998529403,31.4752656787723
710,935,ExactMatch,Exact, ,Limestone-Faulk AME Church,6696 Drewry Rd,Monroeville,36460,Monroe,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.2407030106289,31.4873731431666
711,941,ExactMatch,Approx, ,Monroeville Fire Station #2,280 Whetstone St,Monroeville,36460,Monroe,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.3211049237864,31.5013058434231
712,938,DirectionPrefixRemoved,Exact, ,Monroeville Inn,1749 S Alabama Ave,Monroeville,36460,Monroe,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.3188049231523,31.5015058435463
713,937,DirectionSuffixRemoved,Exact, ,Mexia Fire Station #1,4875 Hwy 47 S,Frisco City,36445,Monroe,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.395687054795,31.5044774015317
714,939,ExactMatch,Approx, ,Monroeville Community House,271 Park Dr,Monroeville,36460,Monroe,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.3425049303576,31.5137058453815
715,947,ExactMatch,Approx, ,Perdue Hill Masonic Hall,42 Co Rd 1,Frisco City,36445,Monroe,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.5063049761483,31.5138058397235
716,588,ExactMatch,Exact,2ND MOUNT ZION CHURCH,2ND MOUNT ZION CHURCH A,5386 OWASSA RD,EVERGREEN,36401,Conecuh,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.9178594015578,31.5181421010053
717,940,ExactMatch,Approx, ,Monroeville Fire Station #1,160 E Claiborne St,Monroeville,36460,Monroe,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.3184049242195,31.5265058490016
718,942,ExactMatch,Approx, ,Monroeville Water Tower,181 E Claiborne St,Monroeville,36460,Monroe,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.3184049242195,31.5265058490016
719,943,ExactMatch,Exact, ,National Guard Armory,865 W Claiborne St,Monroeville,36460,Monroe,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.3414127506708,31.5268100482706
720,928,ExactMatch,Exact, ,Bethel Baptist Church,1040 Clausell Rd,Monroeville,36460,Monroe,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.3534029244798,31.5364378399491
721,594,KnownAlternateName,Exact,LYEFFION FIRE DEPARTMENT,LYEFFION FIRE DEPARTMENT,9901 HIGHWAY 83,EVERGREEN,36401,Conecuh,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.9756048301353,31.5685058700104
722,949,ExactMatch,Exact, ,Philadelphia Baptist Church,460 The Ridge Rd,Peterman,36471,Monroe,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.2750454547916,31.5837265829534
723,948,ExactMatch,Approx, ,Peterman Water Dept,1015 Old Peterman Hwy,Peterman,36471,Monroe,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.2585049104346,31.5895058647849
724,932,ExactMatch,Approx, ,Fountain Baptist Church,205 Church Rd,Monroeville,36460,Monroe,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.4091049528921,31.5962058610011
725,599,ExactMatch,Approx,ROBINSON'S MILL,ROBINSON'S MILL,1683 RAMAH ROAD,PETERMAN,36471,Conecuh,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.1029048671593,31.5963058716649
726,927,ExactMatch,Approx, ,Antioch Baptist Church #3,10131 The Ridge Rd,Monroeville,36460,Monroe,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.2993049228346,31.6101058678443
727,426,ExactMatch,Approx,5,Chapman Post Office,12965 Mobile Road,Georgiana,36033,Butler,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.7212047624748,31.6497058965221
728,933,DirectionSuffixRemoved,Exact, ,Franklin Fire Station,15664 Hwy 41 N,Franklin,36444,Monroe,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.4041620966448,31.7037058844924
729,944,DirectionSuffixRemoved,Exact, ,New Purchase CME Church,17289 Hwy 21 N,Beatrice,36425,Monroe,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.2050583423222,31.7333675379013
730,519,ExactMatch,Approx,17,Nettlesboro Fire Station,5328 Nettlesboro Road,Dickinson,36436,Clarke,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.5822050106766,31.7921058973467
731,946,ExactMatch,Exact, ,Packers Bend Fire Station,5709 Co Rd 49,Lower Peach Tree,36751,Monroe,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.5108213209922,31.7975303910414
732,951,DirectionSuffixRemoved,Exact, ,St John AME Church,29582 Hwy 21 N,Beatrice,36425,Monroe,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.0929312952796,31.8248851916872
733,952,ExactMatch,Approx, ,Vredenburgh Fire Station,69 Walnut St,Vredenburgh,36481,Monroe,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.3210049394968,31.8308059149383
734,429,ExactMatch,Approx,8,Forest Home Voting House,7870 Forest Home Rd,Forest Home,36030,Butler,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.8557048104035,31.8614059379423
735,434,ExactMatch,Approx,14,Manningham Voting House,6018 Ridge Road,Forest Home,36030,Butler,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.8137048012532,31.916605951403
736,885,ExactMatch,Approx,403,Flatwoods,375 Flatwood Circle,Catherine,36728,Marengo,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.5296050151048,32.1808059828818
737,843,ExactMatch,Exact,"11.001, 11.005",White Hall Town Hall,625 Freedom Road,White Hall,36040,Lowndes,Alabama,AE, ,-86.7154109720341,32.2931311363684
738,882,KnownAlternateName,Exact,302,Faunsdale Town Hall,35527 AL Hwy 25,Faunsde,36738,Marengo,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.5937050471446,32.4596386901659
739,610,ExactMatch,Approx,6,Lockhart City Hall,1548 Chippeway Street,Lockhart,36455,Covington,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.3496046285992,31.0122057688042
740,752,ExactMatch,Approx,5-Oct,Geneva City Hall,517 S. Commerce St.,Geneva,36340,Geneva,Alabama,X,AREA WITH REDUCED FLOOD RISK DUE TO LEVEE,-85.8633044921698,31.0321057892413
741,761,KnownAlternateName,Exact,16-2,Flat Creek Community Center,5436 State Highway 153,Samson,36477,Geneva,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.1037476403846,31.0377483425869
742,757,DirectionPrefixRemoved,Exact,14-1,Gilmore Voting House,4760 S. State Highway 87,Samson,36477,Geneva,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.0384856020206,31.0393206950866
743,749,ExactMatch,Approx,1-Oct,Geneva County Courthouse,200 N. Commerce St.,Geneva,36340,Geneva,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-85.8662044933889,31.0411057911496
744,751,ExactMatch,Exact,4-Oct,Geneva Community Center,411 N. Iris St.,Geneva,36340,Geneva,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-85.8786816670135,31.0432373112142
745,750,ExactMatch,Approx,3-Oct,Geneva NG Armory  (Westside UMC),1308 W. Maple Ave.,Geneva,36340,Geneva,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-85.8901045004653,31.0482057919444
746,760,ExactMatch,Exact,16-1,Hacoda Community Center,237 Camp Victory Rd.,Samson,36477,Geneva,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.1701099407634,31.0746441785861
